order_id,lot_id,match_score,decision,match_status,region_match,required_quantity_kg,target_price_usd_per_kg,min_quality_grade,max_days_since_harvest
O200236,LOT00352,0.601,REVIEW_REQUIRED,REVIEW_REQUIRED,0.0,500.0,0.53,B,6.0
O200250,LOT00034,0.725,AUTO_MATCH,AUTO_MATCH,1.0,500.0,0.96,B,4.0
O200261,LOT00173,0.866,AUTO_MATCH,AUTO_MATCH,1.0,500.0,1.17,A,2.0
O200263,LOT00402,0.833,AUTO_MATCH,AUTO_MATCH,1.0,500.0,1.33,B,2.0
O200523,LOT00006,0.892,AUTO_MATCH,AUTO_MATCH,1.0,500.0,1.73,A,2.0
O200762,LOT00008,0.855,AUTO_MATCH,AUTO_MATCH,1.0,500.0,0.74,A,10.0
O200276,LOT00473,0.686,REVIEW_REQUIRED,REVIEW_REQUIRED,1.0,500.0,0.79,B,4.0
O200563,LOT00014,0.453,REVIEW_REQUIRED,REVIEW_REQUIRED,0.0,500.0,1.25,B,2.0
O200577,LOT00014,0.494,REVIEW_REQUIRED,REVIEW_REQUIRED,0.0,500.0,1.64,B,2.0
O200381,LOT00015,0.411,REVIEW_REQUIRED,REVIEW_REQUIRED,0.0,800.0,1.11,B,4.0
O200685,LOT00015,0.783,AUTO_MATCH,AUTO_MATCH,1.0,800.0,1.35,B,4.0
O200292,LOT00291,0.777,AUTO_MATCH,AUTO_MATCH,1.0,800.0,0.71,A,3.0
O200657,LOT00016,0.884,AUTO_MATCH,AUTO_MATCH,1.0,500.0,1.28,B,2.0
O200296,LOT00285,0.911,AUTO_MATCH,AUTO_MATCH,1.0,500.0,0.61,B,4.0
O200635,LOT00018,0.65,REVIEW_REQUIRED,REVIEW_REQUIRED,1.0,500.0,1.18,B,4.0
O200298,LOT00140,0.882,AUTO_MATCH,AUTO_MATCH,1.0,500.0,0.76,B,2.0
O200301,LOT00229,0.863,AUTO_MATCH,AUTO_MATCH,1.0,500.0,0.79,A,2.0
O200312,LOT00034,0.344,REVIEW_REQUIRED,REVIEW_REQUIRED,0.0,800.0,1.15,B,4.0
O200476,LOT00026,0.869,AUTO_MATCH,AUTO_MATCH,1.0,500.0,0.71,B,2.0
O200528,LOT00029,0.786,AUTO_MATCH,AUTO_MATCH,1.0,500.0,0.89,B,4.0
O200340,LOT00032,0.18,REVIEW_REQUIRED,REVIEW_REQUIRED,0.0,800.0,1.24,A,6.0
O200479,LOT00032,0.209,REVIEW_REQUIRED,REVIEW_REQUIRED,0.0,800.0,1.05,A,6.0
O200513,LOT00034,0.727,AUTO_MATCH,AUTO_MATCH,1.0,800.0,0.95,B,4.0
O200738,LOT00034,0.369,REVIEW_REQUIRED,REVIEW_REQUIRED,0.0,800.0,0.99,B,4.0
O200581,LOT00306,0.926,AUTO_MATCH,AUTO_MATCH,1.0,500.0,0.76,B,2.0
O200788,LOT00038,0.535,REVIEW_REQUIRED,REVIEW_REQUIRED,0.0,500.0,0.53,A,10.0
O200349,LOT00068,0.796,AUTO_MATCH,AUTO_MATCH,1.0,500.0,0.88,A,4.0
O200579,LOT00090,0.78,AUTO_MATCH,AUTO_MATCH,1.0,500.0,1.41,B,2.0
O200361,LOT00388,0.869,AUTO_MATCH,AUTO_MATCH,1.0,500.0,0.76,B,2.0
O200409,LOT00048,0.923,AUTO_MATCH,AUTO_MATCH,1.0,500.0,1.84,B,2.0
O200367,LOT00150,0.885,AUTO_MATCH,AUTO_MATCH,1.0,500.0,0.65,B,2.0
O200636,LOT00054,0.908,AUTO_MATCH,AUTO_MATCH,1.0,500.0,0.77,A,2.0
O200674,LOT00098,0.905,AUTO_MATCH,AUTO_MATCH,1.0,500.0,1.12,B,2.0
O200379,LOT00406,0.774,AUTO_MATCH,AUTO_MATCH,1.0,500.0,1.11,A,2.0
O200761,LOT00068,0.796,AUTO_MATCH,AUTO_MATCH,1.0,500.0,0.98,A,4.0
O200390,LOT00102,0.846,AUTO_MATCH,AUTO_MATCH,1.0,500.0,1.26,B,2.0
O200397,LOT00427,0.394,REVIEW_REQUIRED,REVIEW_REQUIRED,0.0,800.0,1.28,A,4.0
O200404,LOT00128,0.551,REVIEW_REQUIRED,REVIEW_REQUIRED,1.0,500.0,1.08,A,6.0
O200424,LOT00164,0.869,AUTO_MATCH,AUTO_MATCH,1.0,500.0,0.83,A,2.0
O200512,LOT00111,0.889,AUTO_MATCH,AUTO_MATCH,1.0,500.0,0.9,A,2.0
O200741,LOT00111,0.541,REVIEW_REQUIRED,REVIEW_REQUIRED,0.0,500.0,0.91,A,2.0
O200785,LOT00111,0.55,REVIEW_REQUIRED,REVIEW_REQUIRED,0.0,500.0,0.96,B,2.0
O200444,LOT00475,0.797,AUTO_MATCH,AUTO_MATCH,1.0,500.0,1.73,B,4.0
O200446,LOT00298,0.944,AUTO_MATCH,AUTO_MATCH,1.0,500.0,1.57,B,2.0
O200645,LOT00133,0.748,AUTO_MATCH,AUTO_MATCH,1.0,500.0,0.65,B,4.0
O200465,LOT00366,0.879,AUTO_MATCH,AUTO_MATCH,1.0,500.0,1.78,A,2.0
O200492,LOT00456,0.561,REVIEW_REQUIRED,REVIEW_REQUIRED,0.0,500.0,1.44,B,2.0
O200611,LOT00352,0.935,AUTO_MATCH,AUTO_MATCH,1.0,500.0,0.44,B,6.0
O200739,LOT00229,0.855,AUTO_MATCH,AUTO_MATCH,1.0,500.0,0.73,A,2.0
O200509,LOT00140,0.872,AUTO_MATCH,AUTO_MATCH,1.0,500.0,0.7,B,2.0
O200732,LOT00259,0.894,AUTO_MATCH,AUTO_MATCH,1.0,500.0,1.33,A,2.0
O200616,LOT00406,0.827,AUTO_MATCH,AUTO_MATCH,1.0,500.0,1.5,B,2.0
O200531,LOT00291,0.768,AUTO_MATCH,AUTO_MATCH,1.0,500.0,0.66,A,3.0
O200770,LOT00285,0.557,REVIEW_REQUIRED,REVIEW_REQUIRED,0.0,500.0,0.63,B,4.0
O200625,LOT00291,0.756,AUTO_MATCH,AUTO_MATCH,1.0,800.0,0.58,B,3.0
O200549,LOT00275,0.813,AUTO_MATCH,AUTO_MATCH,1.0,500.0,1.36,B,2.0
O200554,LOT00144,0.631,REVIEW_REQUIRED,REVIEW_REQUIRED,1.0,500.0,1.31,B,6.0
O200776,LOT00473,0.67,REVIEW_REQUIRED,REVIEW_REQUIRED,1.0,500.0,0.9,B,4.0
O200583,LOT00261,0.831,AUTO_MATCH,AUTO_MATCH,1.0,500.0,0.68,B,12.0
O200736,LOT00140,0.896,AUTO_MATCH,AUTO_MATCH,1.0,500.0,0.84,A,2.0
O200723,LOT00494,0.806,AUTO_MATCH,AUTO_MATCH,1.0,500.0,0.74,B,2.0
O200768,LOT00494,0.811,AUTO_MATCH,AUTO_MATCH,1.0,500.0,0.77,B,2.0
O200798,LOT00437,0.884,AUTO_MATCH,AUTO_MATCH,1.0,500.0,0.86,B,2.0
O200316,LOT00443,0.549,REVIEW_REQUIRED,REVIEW_REQUIRED,0.0,500.0,0.81,B,6.0
O200328,LOT00443,0.905,AUTO_MATCH,AUTO_MATCH,1.0,500.0,0.85,B,6.0
O200416,LOT00443,0.537,REVIEW_REQUIRED,REVIEW_REQUIRED,0.0,500.0,0.72,B,6.0
O200525,LOT00443,0.535,REVIEW_REQUIRED,REVIEW_REQUIRED,0.0,500.0,0.71,A,6.0
O200558,LOT00443,0.563,REVIEW_REQUIRED,REVIEW_REQUIRED,0.0,500.0,0.9,B,6.0
O200023,LOT00506,0.804,AUTO_MATCH,AUTO_MATCH,1.0,500.0,1.56,A,2.0
O200174,LOT00320,0.804,AUTO_MATCH,AUTO_MATCH,1.0,500.0,1.04,A,2.0
O200641,LOT00193,0.83,AUTO_MATCH,AUTO_MATCH,1.0,500.0,1.63,B,4.0
O200268,LOT00340,0.899,AUTO_MATCH,AUTO_MATCH,1.0,500.0,0.72,B,1.0
O200018,LOT00207,0.546,REVIEW_REQUIRED,REVIEW_REQUIRED,0.0,500.0,0.47,A,7.0
O200487,LOT00372,0.89,AUTO_MATCH,AUTO_MATCH,1.0,500.0,0.93,A,2.0
O200676,LOT00452,0.765,AUTO_MATCH,AUTO_MATCH,1.0,500.0,1.76,B,2.0
O200432,LOT00412,0.892,AUTO_MATCH,AUTO_MATCH,1.0,500.0,0.96,B,2.0
O200601,LOT00412,0.888,AUTO_MATCH,AUTO_MATCH,1.0,500.0,0.93,B,2.0
O200557,LOT00386,0.898,AUTO_MATCH,AUTO_MATCH,1.0,500.0,1.21,A,2.0
O200173,LOT00485,0.782,AUTO_MATCH,AUTO_MATCH,1.0,500.0,1.28,B,2.0
O200253,LOT00485,0.781,AUTO_MATCH,AUTO_MATCH,1.0,500.0,1.27,B,2.0
O200420,LOT00485,0.778,AUTO_MATCH,AUTO_MATCH,1.0,500.0,1.24,B,2.0
O200278,LOT00451,0.666,REVIEW_REQUIRED,REVIEW_REQUIRED,1.0,500.0,1.57,A,4.0
O200561,LOT00421,0.867,AUTO_MATCH,AUTO_MATCH,1.0,500.0,0.74,B,2.0
O200007,LOT00271,0.838,AUTO_MATCH,AUTO_MATCH,1.0,500.0,1.38,B,2.0
O200054,LOT00271,0.848,AUTO_MATCH,AUTO_MATCH,1.0,500.0,1.46,A,2.0
O200647,LOT00271,0.496,REVIEW_REQUIRED,REVIEW_REQUIRED,0.0,500.0,1.45,B,2.0
O200326,LOT00360,0.883,AUTO_MATCH,AUTO_MATCH,1.0,500.0,0.89,B,2.0
O200410,LOT00360,0.888,AUTO_MATCH,AUTO_MATCH,1.0,500.0,0.94,B,2.0
O200539,LOT00360,0.861,AUTO_MATCH,AUTO_MATCH,1.0,500.0,0.76,A,2.0
O200178,LOT00435,0.77,AUTO_MATCH,AUTO_MATCH,1.0,500.0,0.79,A,4.0
O200684,LOT00435,0.764,AUTO_MATCH,AUTO_MATCH,1.0,500.0,0.86,A,4.0
O200427,LOT00483,0.751,AUTO_MATCH,AUTO_MATCH,1.0,500.0,1.48,B,4.0
O200400,LOT00329,0.924,AUTO_MATCH,AUTO_MATCH,1.0,500.0,0.64,B,2.0
O200499,LOT00341,0.65,REVIEW_REQUIRED,REVIEW_REQUIRED,1.0,500.0,1.37,B,4.0
O200233,LOT00504,0.852,AUTO_MATCH,AUTO_MATCH,1.0,500.0,0.86,A,2.0
O200279,LOT00504,0.854,AUTO_MATCH,AUTO_MATCH,1.0,500.0,0.87,B,2.0
O200258,LOT00361,0.331,REVIEW_REQUIRED,REVIEW_REQUIRED,0.0,800.0,0.91,B,4.0
O200001,LOT00414,0.791,AUTO_MATCH,AUTO_MATCH,1.0,500.0,0.7,B,2.0
O200044,LOT00418,0.966,AUTO_MATCH,AUTO_MATCH,1.0,500.0,2.06,A,1.0
O200532,LOT00399,0.784,AUTO_MATCH,AUTO_MATCH,1.0,500.0,1.47,B,2.0
O200463,LOT00409,0.541,REVIEW_REQUIRED,REVIEW_REQUIRED,0.0,500.0,0.7,B,8.0
O200735,LOT00479,0.836,AUTO_MATCH,AUTO_MATCH,1.0,500.0,0.9,B,2.0
O200606,LOT00442,0.901,AUTO_MATCH,AUTO_MATCH,1.0,500.0,1.76,B,2.0
O200330,LOT00477,0.824,AUTO_MATCH,AUTO_MATCH,1.0,500.0,0.83,B,10.0
O200344,LOT00517,0.872,AUTO_MATCH,AUTO_MATCH,1.0,500.0,1.36,A,2.0
O200378,LOT00517,0.492,REVIEW_REQUIRED,REVIEW_REQUIRED,0.0,500.0,1.16,B,2.0
O200438,LOT00517,0.485,REVIEW_REQUIRED,REVIEW_REQUIRED,0.0,500.0,1.11,B,2.0
O200067,LOT00200,0.784,AUTO_MATCH,AUTO_MATCH,1.0,500.0,1.42,B,2.0
O200146,LOT00200,0.783,AUTO_MATCH,AUTO_MATCH,1.0,500.0,1.41,B,2.0
O200454,LOT00200,0.78,AUTO_MATCH,AUTO_MATCH,1.0,500.0,1.38,A,2.0
O200742,LOT00200,0.813,AUTO_MATCH,AUTO_MATCH,1.0,500.0,1.64,A,2.0
O200194,LOT00021,0.913,AUTO_MATCH,AUTO_MATCH,1.0,500.0,0.61,B,4.0
O200211,LOT00511,0.89,AUTO_MATCH,AUTO_MATCH,1.0,500.0,1.46,B,2.0
O200187,LOT00224,0.901,AUTO_MATCH,AUTO_MATCH,1.0,500.0,1.47,B,2.0
O200353,LOT00356,0.979,AUTO_MATCH,AUTO_MATCH,1.0,500.0,0.92,B,0.0
O200002,LOT00157,0.932,AUTO_MATCH,AUTO_MATCH,1.0,500.0,1.75,B,2.0
O200183,LOT00119,0.616,REVIEW_REQUIRED,REVIEW_REQUIRED,0.0,500.0,0.71,B,2.0
O200246,LOT00119,0.63,REVIEW_REQUIRED,REVIEW_REQUIRED,0.0,500.0,0.8,B,2.0
O200335,LOT00119,0.62,REVIEW_REQUIRED,REVIEW_REQUIRED,0.0,500.0,0.74,A,2.0
O200656,LOT00119,0.601,REVIEW_REQUIRED,REVIEW_REQUIRED,0.0,500.0,0.6,A,2.0
O200720,LOT00119,0.617,REVIEW_REQUIRED,REVIEW_REQUIRED,0.0,500.0,0.72,A,2.0
O200652,LOT00471,0.889,AUTO_MATCH,AUTO_MATCH,1.0,500.0,0.99,B,2.0
O200667,LOT00138,0.712,REVIEW_REQUIRED,REVIEW_REQUIRED,1.0,500.0,0.7,B,18.0
O200028,LOT00237,0.889,AUTO_MATCH,AUTO_MATCH,1.0,500.0,1.05,B,2.0
O200327,LOT00273,0.55,REVIEW_REQUIRED,REVIEW_REQUIRED,1.0,800.0,1.52,B,4.0
O200662,LOT00273,0.223,REVIEW_REQUIRED,REVIEW_REQUIRED,0.0,800.0,1.33,B,4.0
O200220,LOT00350,0.835,AUTO_MATCH,AUTO_MATCH,1.0,500.0,1.08,B,2.0
O200354,LOT00350,0.843,AUTO_MATCH,AUTO_MATCH,1.0,500.0,1.13,A,2.0
O200777,LOT00335,0.93,AUTO_MATCH,AUTO_MATCH,1.0,500.0,1.55,A,2.0
O200080,LOT00110,0.438,REVIEW_REQUIRED,REVIEW_REQUIRED,0.0,800.0,0.96,B,4.0
O200144,LOT00110,0.419,REVIEW_REQUIRED,REVIEW_REQUIRED,0.0,800.0,0.86,B,4.0
O200223,LOT00110,0.404,REVIEW_REQUIRED,REVIEW_REQUIRED,0.0,800.0,0.76,B,4.0
O200291,LOT00110,0.423,REVIEW_REQUIRED,REVIEW_REQUIRED,0.0,800.0,0.88,A,4.0
O200300,LOT00110,0.425,REVIEW_REQUIRED,REVIEW_REQUIRED,0.0,800.0,0.89,B,4.0
O200332,LOT00110,0.43,REVIEW_REQUIRED,REVIEW_REQUIRED,0.0,800.0,1.0,B,4.0
O200106,LOT00005,0.478,REVIEW_REQUIRED,REVIEW_REQUIRED,0.0,800.0,1.71,B,4.0
O200179,LOT00005,0.473,REVIEW_REQUIRED,REVIEW_REQUIRED,0.0,800.0,1.67,B,4.0
O200419,LOT00005,0.832,AUTO_MATCH,AUTO_MATCH,1.0,800.0,1.75,B,4.0
O200429,LOT00005,0.449,REVIEW_REQUIRED,REVIEW_REQUIRED,0.0,800.0,1.41,B,4.0
O200468,LOT00005,0.475,REVIEW_REQUIRED,REVIEW_REQUIRED,0.0,800.0,1.69,B,4.0
O200133,LOT00424,0.707,REVIEW_REQUIRED,REVIEW_REQUIRED,1.0,500.0,1.54,B,2.0
O200228,LOT00424,0.729,AUTO_MATCH,AUTO_MATCH,1.0,500.0,1.74,B,2.0
O200249,LOT00424,0.719,REVIEW_REQUIRED,REVIEW_REQUIRED,1.0,500.0,1.65,B,2.0
O200556,LOT00424,0.728,AUTO_MATCH,AUTO_MATCH,1.0,500.0,1.73,B,2.0
O200553,LOT00467,0.551,REVIEW_REQUIRED,REVIEW_REQUIRED,0.0,500.0,0.55,B,10.0
O200562,LOT00467,0.559,REVIEW_REQUIRED,REVIEW_REQUIRED,0.0,500.0,0.59,A,10.0
O200145,LOT00233,0.824,AUTO_MATCH,AUTO_MATCH,1.0,500.0,1.33,B,2.0
O200494,LOT00233,0.838,AUTO_MATCH,AUTO_MATCH,1.0,500.0,1.43,A,2.0
O200516,LOT00233,0.859,AUTO_MATCH,AUTO_MATCH,1.0,500.0,1.64,B,2.0
O200430,LOT00280,0.987,AUTO_MATCH,AUTO_MATCH,1.0,500.0,1.13,B,0.0
O200433,LOT00280,0.973,AUTO_MATCH,AUTO_MATCH,1.0,500.0,1.03,A,0.0
