,listing_id,farmer_id,country,region,crop_type,quality_grade,harvest_date,listing_date,quantity_kg,ask_price_usd_per_kg,lat_cell,lon_cell,shelf_life_days_effective,days_since_harvest,spoilage_risk_score,lot_id,total_quantity_kg,weighted_avg_ask_price_usd_per_kg,avg_spoilage_risk_score,max_days_since_harvest,recommended_discount_pct,recommended_price_usd_per_kg,priority,order_id,match_score,decision,region_match,required_quantity_kg,min_quality_grade,max_days_since_harvest.1,target_price_usd_per_kg,baseline_shelf_life_days,medium_risk_day,high_risk_day,match_status
10,L100014,F15bee879d95d,Kenya,Kiambu,Mangoes,A,2026-02-14,2026-02-16,103,1.41,0.04,38.15,7.8,5,0.635,,,,,,,,,,,,,,,,,7,4,6,Not Matched
11,L100020,F0ab8d07f9e18,Kenya,Nakuru,Bell Peppers,B,2026-02-11,2026-02-11,154,1.59,-0.17,38.53,10.0,8,0.792,,,,,,,,,,,,,,,,,10,6,8,Not Matched
12,L100021,Fc627e7f6ea16,Kenya,Uasin Gishu,Carrots,A,2026-01-07,2026-01-08,150,0.8,-0.64,35.89,31.1,43,1.0,,,,,,,,,,,,,,,,,28,17,24,Not Matched
13,L100022,F7a70c259218e,South Africa,KwaZulu-Natal,Carrots,B,2026-01-30,2026-01-30,170,0.85,-31.05,23.98,28.0,20,0.805,,,,,,,,,,,,,,,,,28,17,24,Not Matched
14,L100023,F261e9cca4bd3,Kenya,Machakos,Onions,B,2026-02-05,2026-02-06,97,0.66,0.0,37.9,30.0,14,0.449,,,,,,,,,,,,,,,,,30,18,26,Not Matched
15,L100024,F512a7ebe117d,Nigeria,FCT,Potatoes,A,2026-02-06,2026-02-06,83,0.58,9.18,8.86,50.0,13,0.304,,,,,,,,,,,,,,,,,45,27,38,Not Matched
16,L100025,F81aae9f556ca,Kenya,Kiambu,Tomatoes,B,2026-02-18,2026-02-20,211,0.99,-0.49,35.73,7.0,1,0.172,,,,,,,,,,,,,,,,,7,4,6,Not Matched
17,L100026,F35eb6462743a,South Africa,Limpopo,Leafy Greens,B,2026-02-16,2026-02-17,171,2.19,-30.37,24.0,4.0,3,0.681,,,,,,,,,,,,,,,,,4,2,3,Not Matched
18,L100027,F5fd8f7503194,South Africa,Gauteng,Carrots,B,2026-01-28,2026-01-30,202,0.82,-30.48,23.2,28.0,22,0.741,,,,,,,,,,,,,,,,,28,17,24,Not Matched
19,L100028,Ff35ec1dd0cc0,South Africa,Gauteng,Bananas,C,2026-02-14,2026-02-16,55,0.64,-30.33,24.38,5.2,5,0.962,,,,,,,,,,,,,,,,,6,4,5,Not Matched
20,L100030,F831ce8847968,Kenya,Mombasa,Potatoes,B,2026-01-27,2026-01-28,140,0.55,-1.44,39.96,45.0,23,0.394,,,,,,,,,,,,,,,,,45,27,38,Not Matched
21,L100034,Fc6df8f357d1a,South Africa,Eastern Cape,Tomatoes,A,2026-02-11,2026-02-11,179,1.29,-28.96,23.52,7.8,8,0.925,,,,,,,,,,,,,,,,,7,4,6,Not Matched
22,L100035,F8d4a3cf75f8f,Kenya,Mombasa,Potatoes,C,2026-02-03,2026-02-06,122,0.44,0.93,37.07,39.1,16,0.504,,,,,,,,,,,,,,,,,45,27,38,Not Matched
23,L100039,F83f360dbcf2b,Kenya,Machakos,Leafy Greens,C,2026-02-10,2026-02-13,205,1.39,-0.7,38.92,3.5,9,0.99,,,,,,,,,,,,,,,,,4,2,3,Not Matched
24,L100040,F5266385d91a9,South Africa,KwaZulu-Natal,Leafy Greens,A,2026-02-12,2026-02-15,76,1.89,-31.74,21.46,4.4,7,1.0,,,,,,,,,,,,,,,,,4,2,3,Not Matched
25,L100042,F4f0f025d6c4c,Nigeria,Kaduna,Carrots,A,2026-01-16,2026-01-19,113,0.69,8.57,9.48,31.1,34,0.934,,,,,,,,,,,,,,,,,28,17,24,Not Matched
26,L100046,F8a023ebde108,Nigeria,Oyo,Potatoes,A,2026-01-31,2026-02-02,84,0.55,8.52,7.86,50.0,19,0.362,,,,,,,,,,,,,,,,,45,27,38,Not Matched
27,L100047,F0a6416ac99cd,Nigeria,Oyo,Leafy Greens,A,2026-02-18,2026-02-20,50,1.5,10.22,9.18,4.4,1,0.259,,,,,,,,,,,,,,,,,4,2,3,Not Matched
28,L100048,F4b08a0e2ca33,South Africa,Western Cape,Carrots,A,2026-01-26,2026-01-29,98,0.85,-30.22,21.47,31.1,24,0.809,,,,,,,,,,,,,,,,,28,17,24,Not Matched
29,L100049,Fd6b5c493c543,Kenya,Kiambu,Potatoes,A,2026-01-26,2026-01-26,191,0.63,-0.33,38.42,50.0,24,0.626,,,,,,,,,,,,,,,,,45,27,38,Not Matched
30,L100052,F94f4cff5fd70,Kenya,Nakuru,Cucumbers,A,2026-02-17,2026-02-18,128,0.96,1.26,36.29,7.8,2,0.22,,,,,,,,,,,,,,,,,7,4,6,Not Matched
31,L100054,F65fb8401b8b0,Nigeria,FCT,Carrots,B,2026-02-04,2026-02-06,153,0.71,9.64,7.15,28.0,15,0.553,,,,,,,,,,,,,,,,,28,17,24,Not Matched
32,L100055,Ff7546f5c0450,Kenya,Nakuru,Cucumbers,B,2026-02-07,2026-02-07,90,0.89,2.01,35.19,7.0,12,1.0,,,,,,,,,,,,,,,,,7,4,6,Not Matched
33,L100057,Fadf71bfcfff6,Kenya,Kiambu,Cucumbers,A,2026-02-18,2026-02-20,101,0.75,-0.35,36.01,7.8,1,0.086,,,,,,,,,,,,,,,,,7,4,6,Not Matched
34,L100058,Ffaf68f9c35c2,South Africa,Western Cape,Mangoes,A,2026-02-15,2026-02-18,96,1.64,-30.23,22.55,7.8,4,0.55,,,,,,,,,,,,,,,,,7,4,6,Not Matched
35,L100059,Fcc2fc439dcbb,Nigeria,Oyo,Potatoes,C,2026-01-15,2026-01-18,129,0.4,10.54,9.79,39.1,35,0.787,,,,,,,,,,,,,,,,,45,27,38,Not Matched
36,L100060,F2cac4087714e,South Africa,KwaZulu-Natal,Okra,C,2026-02-16,2026-02-17,119,1.05,-31.74,22.25,4.3,3,0.64,,,,,,,,,,,,,,,,,5,3,4,Not Matched
37,L100062,F45d5ae620094,Kenya,Machakos,Cucumbers,B,2026-02-18,2026-02-18,100,0.97,0.52,37.75,7.0,1,0.163,,,,,,,,,,,,,,,,,7,4,6,Not Matched
38,L100063,Fe76294be59fa,Kenya,Kiambu,Potatoes,B,2026-02-14,2026-02-17,75,0.56,-0.81,37.35,45.0,5,0.101,,,,,,,,,,,,,,,,,45,27,38,Not Matched
39,L100064,F927f03560c26,Nigeria,Kaduna,Mangoes,B,2026-02-17,2026-02-18,114,1.35,8.83,7.76,7.0,2,0.289,,,,,,,,,,,,,,,,,7,4,6,Not Matched
40,L100065,Fb508a4550ba5,Nigeria,Rivers,Cucumbers,B,2026-02-13,2026-02-16,201,0.74,8.34,9.24,7.0,6,0.775,,,,,,,,,,,,,,,,,7,4,6,Not Matched
41,L100066,F15731bc0b005,South Africa,Limpopo,Cucumbers,B,2026-02-15,2026-02-15,50,0.79,-31.89,24.85,7.0,4,0.593,,,,,,,,,,,,,,,,,7,4,6,Not Matched
42,L100067,Fc9ba162fe584,South Africa,KwaZulu-Natal,Leafy Greens,B,2026-02-12,2026-02-13,199,2.01,-30.88,23.77,4.0,7,1.0,,,,,,,,,,,,,,,,,4,2,3,Not Matched
43,L100068,F379e5db6ffff,Nigeria,Oyo,Potatoes,A,2026-01-27,2026-01-30,275,0.49,10.08,6.49,50.0,23,0.489,,,,,,,,,,,,,,,,,45,27,38,Not Matched
44,L100071,Fa570f08af28a,Nigeria,FCT,Onions,A,2026-01-18,2026-01-18,138,0.61,9.21,8.59,33.3,32,0.859,,,,,,,,,,,,,,,,,30,18,26,Not Matched
45,L100072,Fa7e324c97995,South Africa,Eastern Cape,Okra,B,2026-02-13,2026-02-16,56,1.29,-31.75,23.89,5.0,6,1.0,,,,,,,,,,,,,,,,,5,3,4,Not Matched
46,L100074,Ff35ec1dd0cc0,South Africa,Gauteng,Onions,C,2025-12-27,2025-12-30,199,0.54,-29.72,22.26,26.1,54,0.982,,,,,,,,,,,,,,,,,30,18,26,Not Matched
47,L100075,Fbd18d4850cbc,Nigeria,Lagos,Mangoes,A,2026-02-13,2026-02-15,135,1.3,10.53,8.38,7.8,6,0.688,,,,,,,,,,,,,,,,,7,4,6,Not Matched
48,L100076,Fd5faa5c76000,Kenya,Uasin Gishu,Carrots,B,2026-02-15,2026-02-15,157,0.74,1.09,35.73,28.0,4,0.059,,,,,,,,,,,,,,,,,28,17,24,Not Matched
49,L100077,F17d51d86050c,Nigeria,FCT,Carrots,A,2026-02-15,2026-02-16,135,0.7,9.01,8.43,31.1,4,0.167,,,,,,,,,,,,,,,,,28,17,24,Not Matched
50,L100078,F3877485db43c,Kenya,Kiambu,Tomatoes,B,2026-02-13,2026-02-13,79,0.93,-0.41,38.38,7.0,6,0.821,,,,,,,,,,,,,,,,,7,4,6,Not Matched
51,L100080,F34e148ee3768,Nigeria,Lagos,Onions,A,2026-02-03,2026-02-05,72,0.69,7.92,10.49,33.3,16,0.499,,,,,,,,,,,,,,,,,30,18,26,Not Matched
52,L100081,F806230f6732a,Nigeria,Oyo,Carrots,C,2026-01-27,2026-01-30,96,0.64,8.91,8.31,24.3,23,0.869,,,,,,,,,,,,,,,,,28,17,24,Not Matched
53,L100083,Fd836e059d720,Nigeria,Kaduna,Bananas,B,2026-02-12,2026-02-12,243,0.74,8.54,10.48,6.0,7,0.957,,,,,,,,,,,,,,,,,6,4,5,Not Matched
54,L100084,F06dc32b2ae7b,Kenya,Nakuru,Cucumbers,A,2026-02-17,2026-02-19,115,0.93,0.52,39.82,7.8,2,0.235,,,,,,,,,,,,,,,,,7,4,6,Not Matched
55,L100085,F3408d8c82cff,South Africa,Eastern Cape,Mangoes,A,2026-02-12,2026-02-14,136,1.42,-32.44,21.09,7.8,7,0.867,,,,,,,,,,,,,,,,,7,4,6,Not Matched
56,L100087,F1a5320e193cf,Nigeria,Lagos,Leafy Greens,A,2026-02-13,2026-02-13,61,1.67,8.72,10.65,4.4,6,0.998,,,,,,,,,,,,,,,,,4,2,3,Not Matched
57,L100090,Fbcf1fe4b86ef,Kenya,Uasin Gishu,Potatoes,A,2026-02-07,2026-02-08,91,0.7,0.82,38.55,50.0,12,0.243,,,,,,,,,,,,,,,,,45,27,38,Not Matched
58,L100092,F646d37892dee,Nigeria,FCT,Mangoes,B,2026-02-14,2026-02-15,174,0.99,8.78,8.23,7.0,5,0.758,,,,,,,,,,,,,,,,,7,4,6,Not Matched
59,L100093,F83539237ebc1,Nigeria,Kano,Okra,B,2026-02-12,2026-02-15,196,1.07,9.26,9.86,5.0,7,1.0,,,,,,,,,,,,,,,,,5,3,4,Not Matched
60,L100095,F57fc2bf6cabe,Kenya,Uasin Gishu,Mangoes,B,2026-02-15,2026-02-16,101,1.15,-0.91,37.76,7.0,4,0.589,,,,,,,,,,,,,,,,,7,4,6,Not Matched
61,L100097,Fd29382f40a50,South Africa,Free State,Onions,B,2026-01-24,2026-01-26,81,0.75,-29.84,23.34,30.0,26,0.915,,,,,,,,,,,,,,,,,30,18,26,Not Matched
62,L100098,F2c8bc33d11ed,Nigeria,Oyo,Tomatoes,A,2026-02-16,2026-02-19,74,1.09,8.01,10.15,7.8,3,0.415,,,,,,,,,,,,,,,,,7,4,6,Not Matched
63,L100100,Fb2f5cfff5469,Nigeria,FCT,Okra,B,2026-02-16,2026-02-18,50,1.07,10.81,9.64,5.0,3,0.645,,,,,,,,,,,,,,,,,5,3,4,Not Matched
64,L100101,Ff89c451da853,South Africa,Eastern Cape,Onions,B,2026-01-22,2026-01-24,261,0.66,-30.84,23.66,30.0,28,0.899,,,,,,,,,,,,,,,,,30,18,26,Not Matched
65,L100102,F21d0b07578f3,Kenya,Kiambu,Bell Peppers,B,2026-02-15,2026-02-17,155,1.62,-0.42,38.6,10.0,4,0.475,,,,,,,,,,,,,,,,,10,6,8,Not Matched
66,L100104,Fdbf52bf15d8c,Nigeria,Kaduna,Okra,B,2026-02-19,2026-02-19,95,0.99,8.26,9.92,5.0,0,0.0,,,,,,,,,,,,,,,,,5,3,4,Not Matched
67,L100105,Fd30a7ba58fe4,Kenya,Uasin Gishu,Okra,A,2026-02-16,2026-02-19,137,1.27,0.54,39.31,5.6,3,0.486,,,,,,,,,,,,,,,,,5,3,4,Not Matched
68,L100106,F72d24f642e25,South Africa,Free State,Mangoes,A,2026-02-14,2026-02-17,132,1.37,-30.61,23.55,7.8,5,0.719,,,,,,,,,,,,,,,,,7,4,6,Not Matched
69,L100107,F60eb4e609e36,Nigeria,Rivers,Bell Peppers,B,2026-02-15,2026-02-16,114,1.74,9.28,8.9,10.0,4,0.383,,,,,,,,,,,,,,,,,10,6,8,Not Matched
70,L100108,F48687859908c,South Africa,KwaZulu-Natal,Carrots,C,2026-02-09,2026-02-12,100,0.63,-30.87,23.44,24.3,10,0.458,,,,,,,,,,,,,,,,,28,17,24,Not Matched
71,L100109,Ff657d814aa7d,South Africa,KwaZulu-Natal,Onions,A,2026-02-05,2026-02-05,80,0.64,-30.66,22.78,33.3,14,0.406,,,,,,,,,,,,,,,,,30,18,26,Not Matched
72,L100111,F56fb0b2447e3,South Africa,Gauteng,Carrots,B,2026-01-13,2026-01-14,128,0.92,-30.7,22.66,28.0,37,0.985,,,,,,,,,,,,,,,,,28,17,24,Not Matched
73,L100112,F7b60bdae7370,South Africa,Free State,Potatoes,A,2026-01-31,2026-02-01,149,0.75,-32.22,23.03,50.0,19,0.35,,,,,,,,,,,,,,,,,45,27,38,Not Matched
74,L100113,F4f0f025d6c4c,Nigeria,Kaduna,Onions,C,2026-02-06,2026-02-09,259,0.51,9.23,8.5,26.1,13,0.439,,,,,,,,,,,,,,,,,30,18,26,Not Matched
75,L100115,F1d9ab0c3ff43,Nigeria,Kano,Mangoes,C,2026-02-18,2026-02-19,199,1.09,9.14,10.13,6.1,1,0.189,,,,,,,,,,,,,,,,,7,4,6,Not Matched
76,L100116,F8d09884c0c62,Nigeria,Rivers,Okra,A,2026-02-18,2026-02-21,56,0.99,8.46,7.85,5.6,1,0.144,,,,,,,,,,,,,,,,,5,3,4,Not Matched
77,L100117,Fa4187a989bdf,South Africa,Western Cape,Potatoes,A,2026-02-02,2026-02-03,147,0.74,-31.7,23.5,50.0,17,0.434,,,,,,,,,,,,,,,,,45,27,38,Not Matched
78,L100119,Fa09c5065e7af,South Africa,KwaZulu-Natal,Potatoes,B,2026-02-14,2026-02-17,75,0.56,-30.5,21.84,45.0,5,0.109,,,,,,,,,,,,,,,,,45,27,38,Not Matched
79,L100120,F86180c9ffaa2,Nigeria,Kaduna,Potatoes,B,2026-02-08,2026-02-10,134,0.47,7.89,8.06,45.0,11,0.221,,,,,,,,,,,,,,,,,45,27,38,Not Matched
80,L100121,F26edfd287c32,South Africa,KwaZulu-Natal,Potatoes,B,2026-02-04,2026-02-04,93,0.6,-29.72,21.46,45.0,15,0.356,,,,,,,,,,,,,,,,,45,27,38,Not Matched
81,L100122,F6e3d2eed6f1a,Nigeria,Lagos,Onions,A,2026-02-07,2026-02-09,162,0.7,7.7,9.35,33.3,12,0.358,,,,,,,,,,,,,,,,,30,18,26,Not Matched
82,L100123,Fe709a619333f,Kenya,Nakuru,Onions,B,2026-01-24,2026-01-26,59,0.67,0.89,37.21,30.0,26,0.905,,,,,,,,,,,,,,,,,30,18,26,Not Matched
83,L100125,F3169d8f13542,Kenya,Uasin Gishu,Potatoes,A,2026-01-26,2026-01-28,168,0.65,-0.44,36.72,50.0,24,0.473,,,,,,,,,,,,,,,,,45,27,38,Not Matched
84,L100127,F4f1f07285403,Nigeria,Kano,Mangoes,A,2026-02-19,2026-02-20,161,1.37,10.3,8.79,7.8,0,0.0,,,,,,,,,,,,,,,,,7,4,6,Not Matched
85,L100128,Fd898ac9ec28f,South Africa,Free State,Cucumbers,A,2026-02-14,2026-02-17,50,1.09,-31.39,21.86,7.8,5,0.703,,,,,,,,,,,,,,,,,7,4,6,Not Matched
86,L100129,F65fb8401b8b0,Nigeria,FCT,Carrots,A,2026-01-01,2026-01-01,131,0.79,11.23,8.09,31.1,49,1.0,,,,,,,,,,,,,,,,,28,17,24,Not Matched
87,L100132,F48687859908c,South Africa,KwaZulu-Natal,Mangoes,C,2026-02-12,2026-02-13,91,1.27,-31.84,24.49,6.1,7,0.866,,,,,,,,,,,,,,,,,7,4,6,Not Matched
88,L100133,F78dd30d8cafa,South Africa,Limpopo,Potatoes,B,2026-02-09,2026-02-09,60,0.65,-29.6,22.88,45.0,10,0.188,,,,,,,,,,,,,,,,,45,27,38,Not Matched
89,L100134,F6c1275a0b529,South Africa,Western Cape,Onions,C,2026-02-12,2026-02-13,72,0.65,-30.54,21.5,26.1,7,0.21,,,,,,,,,,,,,,,,,30,18,26,Not Matched
90,L100137,F31496d522dfe,South Africa,Eastern Cape,Mangoes,B,2026-02-11,2026-02-13,110,1.39,-29.69,22.59,7.0,8,0.904,,,,,,,,,,,,,,,,,7,4,6,Not Matched
91,L100138,F4fe5554a35d6,Nigeria,Rivers,Tomatoes,A,2026-02-11,2026-02-12,73,0.91,9.2,9.14,7.8,8,0.978,,,,,,,,,,,,,,,,,7,4,6,Not Matched
92,L100143,F8a223d27d8ef,South Africa,Gauteng,Leafy Greens,A,2026-02-16,2026-02-17,105,2.06,-31.8,23.21,4.4,3,0.685,,,,,,,,,,,,,,,,,4,2,3,Not Matched
93,L100145,F9b2167715b75,Kenya,Nakuru,Okra,B,2026-02-18,2026-02-21,141,0.94,0.85,37.4,5.0,1,0.035,,,,,,,,,,,,,,,,,5,3,4,Not Matched
94,L100146,Fcb872cd4147e,South Africa,Free State,Leafy Greens,C,2026-02-19,2026-02-21,83,1.48,-31.63,24.75,3.5,0,0.0,,,,,,,,,,,,,,,,,4,2,3,Not Matched
95,L100147,Fa6aa55276019,Nigeria,FCT,Cucumbers,A,2026-02-19,2026-02-21,77,0.9,9.74,8.43,7.8,0,0.055,,,,,,,,,,,,,,,,,7,4,6,Not Matched
96,L100148,Fa2a1da52e4cf,Nigeria,Rivers,Tomatoes,C,2026-02-11,2026-02-14,60,0.73,9.59,7.39,6.1,8,0.974,,,,,,,,,,,,,,,,,7,4,6,Not Matched
97,L100150,F688ff2c80bd2,South Africa,KwaZulu-Natal,Carrots,B,2026-02-05,2026-02-06,134,0.72,-31.73,22.14,28.0,14,0.521,,,,,,,,,,,,,,,,,28,17,24,Not Matched
98,L100153,F8f4b068761cf,Kenya,Mombasa,Mangoes,B,2026-02-12,2026-02-15,121,1.23,-0.11,39.52,7.0,7,1.0,,,,,,,,,,,,,,,,,7,4,6,Not Matched
99,L100154,Fa226e27134f0,Kenya,Nairobi,Leafy Greens,B,2026-02-13,2026-02-13,76,1.57,-1.08,37.66,4.0,6,0.906,,,,,,,,,,,,,,,,,4,2,3,Not Matched
100,L100155,F0a6416ac99cd,Nigeria,Oyo,Potatoes,C,2026-01-28,2026-01-31,55,0.37,10.1,9.94,39.1,22,0.577,,,,,,,,,,,,,,,,,45,27,38,Not Matched
101,L100156,Ff578f51ceaf1,Nigeria,Rivers,Carrots,A,2026-02-08,2026-02-10,163,0.75,8.98,9.11,31.1,11,0.395,,,,,,,,,,,,,,,,,28,17,24,Not Matched
102,L100157,F2787ee13e67d,Nigeria,Rivers,Potatoes,B,2026-01-28,2026-01-28,109,0.44,8.57,8.06,45.0,22,0.579,,,,,,,,,,,,,,,,,45,27,38,Not Matched
103,L100158,F75379605e36a,Kenya,Mombasa,Onions,A,2026-01-02,2026-01-02,136,0.67,-0.33,38.16,33.3,48,1.0,,,,,,,,,,,,,,,,,30,18,26,Not Matched
104,L100159,F323f76ec4b1e,Nigeria,FCT,Onions,B,2026-01-25,2026-01-28,92,0.55,8.7,5.66,30.0,25,0.794,,,,,,,,,,,,,,,,,30,18,26,Not Matched
105,L100160,Ffad0b0adbcaa,Nigeria,Rivers,Onions,C,2026-02-09,2026-02-09,99,0.51,7.73,8.29,26.1,10,0.277,,,,,,,,,,,,,,,,,30,18,26,Not Matched
106,L100161,F41cab385cfdd,Kenya,Uasin Gishu,Leafy Greens,A,2026-02-13,2026-02-13,248,1.84,-0.08,38.02,4.4,6,1.0,,,,,,,,,,,,,,,,,4,2,3,Not Matched
107,L100162,Ffcbf04fd5991,Kenya,Machakos,Okra,A,2026-02-11,2026-02-14,123,1.55,-2.02,39.88,5.6,8,0.948,,,,,,,,,,,,,,,,,5,3,4,Not Matched
108,L100163,F998fcebe37b1,South Africa,Free State,Carrots,C,2026-02-13,2026-02-15,193,0.74,-30.0,23.21,24.3,6,0.235,,,,,,,,,,,,,,,,,28,17,24,Not Matched
109,L100164,F48853449f07a,South Africa,Gauteng,Potatoes,C,2026-02-14,2026-02-17,162,0.49,-30.96,23.08,39.1,5,0.126,,,,,,,,,,,,,,,,,45,27,38,Not Matched
110,L100167,F750139550447,Kenya,Uasin Gishu,Onions,A,2026-02-01,2026-02-01,287,0.69,1.51,38.42,33.3,18,0.44,,,,,,,,,,,,,,,,,30,18,26,Not Matched
111,L100168,F91d8685298e0,Kenya,Nakuru,Okra,A,2026-02-18,2026-02-21,105,1.11,-0.71,38.37,5.6,1,0.034,,,,,,,,,,,,,,,,,5,3,4,Not Matched
112,L100171,F8fb3e6f441b5,Nigeria,Rivers,Bell Peppers,C,2026-02-16,2026-02-16,91,1.32,10.13,11.27,8.7,3,0.262,,,,,,,,,,,,,,,,,10,6,8,Not Matched
113,L100172,F47440335a0b8,South Africa,KwaZulu-Natal,Carrots,C,2026-01-19,2026-01-19,123,0.73,-30.13,24.72,24.3,31,1.0,,,,,,,,,,,,,,,,,28,17,24,Not Matched
114,L100174,Fa852ef8e5e1b,South Africa,Limpopo,Carrots,A,2026-01-24,2026-01-27,97,1.01,-30.29,24.41,31.1,26,0.835,,,,,,,,,,,,,,,,,28,17,24,Not Matched
115,L100175,F632a3dabd86c,Kenya,Uasin Gishu,Bananas,A,2026-02-12,2026-02-15,168,0.77,-0.85,37.32,6.7,7,1.0,,,,,,,,,,,,,,,,,6,4,5,Not Matched
116,L100176,Fcd6a62ab63f4,South Africa,Free State,Potatoes,A,2026-01-28,2026-01-29,117,0.69,-30.51,22.0,50.0,22,0.482,,,,,,,,,,,,,,,,,45,27,38,Not Matched
117,L100179,F10e351629912,Kenya,Kiambu,Bell Peppers,A,2026-02-19,2026-02-19,58,1.65,0.03,38.71,11.1,0,0.0,,,,,,,,,,,,,,,,,10,6,8,Not Matched
118,L100180,Fb12caf5e199e,Nigeria,Kano,Leafy Greens,A,2026-02-16,2026-02-18,118,1.63,8.8,9.01,4.4,3,0.603,,,,,,,,,,,,,,,,,4,2,3,Not Matched
119,L100181,Fa44aa6abc45b,Nigeria,Kaduna,Onions,A,2026-01-25,2026-01-28,198,0.67,10.32,9.18,33.3,25,0.734,,,,,,,,,,,,,,,,,30,18,26,Not Matched
120,L100183,F66b71428ae5d,Kenya,Nairobi,Carrots,B,2026-01-17,2026-01-18,69,0.73,1.8,37.24,28.0,33,1.0,,,,,,,,,,,,,,,,,28,17,24,Not Matched
121,L100185,F806230f6732a,Nigeria,Oyo,Bananas,A,2026-02-17,2026-02-20,201,0.77,7.83,7.39,6.7,2,0.233,,,,,,,,,,,,,,,,,6,4,5,Not Matched
122,L100186,Ff57af7968c60,Nigeria,Oyo,Carrots,A,2026-02-16,2026-02-18,212,0.62,8.99,9.33,31.1,3,0.119,,,,,,,,,,,,,,,,,28,17,24,Not Matched
123,L100187,Fcefbdf9dceac,Nigeria,Lagos,Bell Peppers,B,2026-02-14,2026-02-16,111,1.51,11.38,8.3,10.0,5,0.419,,,,,,,,,,,,,,,,,10,6,8,Not Matched
124,L100188,F1d9ab0c3ff43,Nigeria,Kano,Leafy Greens,B,2026-02-13,2026-02-16,69,1.1,8.94,9.13,4.0,6,0.979,,,,,,,,,,,,,,,,,4,2,3,Not Matched
125,L100190,F00fa5b674775,South Africa,Free State,Bell Peppers,B,2026-02-16,2026-02-17,206,1.98,-32.3,21.17,10.0,3,0.184,,,,,,,,,,,,,,,,,10,6,8,Not Matched
126,L100191,Fda3a96c79116,Nigeria,Kano,Tomatoes,B,2026-02-11,2026-02-11,247,0.91,7.51,8.73,7.0,8,1.0,,,,,,,,,,,,,,,,,7,4,6,Not Matched
127,L100194,Ffcbf04fd5991,Kenya,Machakos,Cucumbers,B,2026-02-18,2026-02-18,50,0.9,-0.28,39.66,7.0,1,0.131,,,,,,,,,,,,,,,,,7,4,6,Not Matched
128,L100197,F74b3ace3b0fe,South Africa,Free State,Potatoes,A,2026-02-03,2026-02-03,165,0.67,-31.53,23.77,50.0,16,0.359,,,,,,,,,,,,,,,,,45,27,38,Not Matched
129,L100198,F1dda16bd303b,Kenya,Machakos,Carrots,A,2026-02-08,2026-02-08,91,0.69,0.87,37.77,31.1,11,0.425,,,,,,,,,,,,,,,,,28,17,24,Not Matched
130,L100201,F349776dabf2b,Nigeria,FCT,Onions,A,2026-01-31,2026-02-01,96,0.77,9.99,9.05,33.3,19,0.573,,,,,,,,,,,,,,,,,30,18,26,Not Matched
